,Sala,Fecha2,Presidente,Integrante1,Integrante2,Integrante3,Integrante4
3146,PRIMERA,2021-08-23,AEGNEM,PRADO,SILVA,MERA,MUNITA
3151,PRIMERA,2021-08-24,AEGNEM,PRADO,SILVA,MERA,FUENTES
3153,PRIMERA,2021-08-25,AEGNEM,FUENTES,PRADO,, SILVA
3156,PRIMERA,2021-08-26,AEGNEM,FUENTES,PRADO,, SILVA
3159,PRIMERA,2021-08-27,FUENTES,SILVA,MERA,ALCALDE,FUENTES
3160,PRIMERA,2021-08-30,AEGNEM,PRADO,MERA,AGAJARDO,FUENTES
3161,PRIMERA,2021-08-31,AEGNEM,FUENTES,MERA,ACOPPO,FUENTES
3163,PRIMERA,2021-08-09,AMAGGI,AEGNEM,FUENTES,PRADO,SILVA
3169,PRIMERA,2021-08-06,AMAGGI,AEGNEM,FUENTES,PRADO,HUMERES
3172,PRIMERA,2021-08-05,AMAGGI,AEGNEM,FUENTES,PRADO,FUENTES
3174,PRIMERA,2021-08-04,AMAGGI,PRADO,SILVA,MU,GONZALEZ
3179,PRIMERA,2021-08-03,AMAGGI,PRADO,SILVA,MU,MUNITA
